Gruppe;Sett;Antall i settet;Produktnavn;Kategori;Pa lager;Naermeste treff;Avstand
"tvetydig";"SPG";"59";"Sacred Mesa";"Special";"0";"Arid Mesa (og 1 andre like nær)";"3"
"ukjent";"SPG";"59";"Voidmage Prodigy";"Special";"6";"";""
"ukjent";"SPG";"59";"Scragnoth";"Special";"5";"";""
"ukjent";"SPG";"59";"Willbender";"Special";"5";"";""
"ukjent";"SPG";"59";"Assault - Battery";"Special";"1";"";""
"ukjent";"SPG";"59";"Browbeat";"Special";"1";"";""
"ukjent";"SPG";"59";"Cockatrice";"Special";"1";"";""
"ukjent";"SPG";"59";"Mystic Enforcer";"Special";"1";"";""
"ukjent";"SPG";"59";"Uthden Troll";"Special";"1";"";""
"ukjent";"SPG";"59";"Void";"Special";"1";"";""
"ukjent";"SPG";"59";"War Barge";"Special";"1";"";""
"ukjent";"SPG";"59";"Wildfire Emissary";"Special";"1";"";""
"ukjent";"SPG";"59";"Akroma, Angel of Wrath";"Special";"0";"";""
"ukjent";"SPG";"59";"Arena";"Special";"0";"";""
"ukjent";"SPG";"59";"Avalanche Riders";"Special";"0";"";""
"ukjent";"SPG";"59";"Avatar of Woe";"Special";"0";"";""
"ukjent";"SPG";"59";"Avatar of Woe (Foil)";"Special";"0";"";""
"ukjent";"SPG";"59";"Call of the Herd";"Special";"0";"";""
"ukjent";"SPG";"59";"Celestial Dawn";"Special";"0";"";""
"ukjent";"SPG";"59";"Coalition Victory";"Special";"0";"";""
"ukjent";"SPG";"59";"Dauthi Slayer";"Special";"0";"";""
"ukjent";"SPG";"59";"Disenchant";"Special";"0";"";""
"ukjent";"SPG";"59";"Dragon Whelp";"Special";"0";"";""
"ukjent";"SPG";"59";"Dragonstorm";"Special";"0";"";""
"ukjent";"SPG";"59";"Enduring Renewal";"Special";"0";"";""
"ukjent";"SPG";"59";"Essence Sliver";"Special";"0";"";""
"ukjent";"SPG";"59";"Evil Eye of Orms-by-Gore";"Special";"0";"";""
"ukjent";"SPG";"59";"Feldon's Cane";"Special";"0";"";""
"ukjent";"SPG";"59";"Fiery Temper";"Special";"0";"";""
"ukjent";"SPG";"59";"Flying Men";"Special";"0";"";""
"ukjent";"SPG";"59";"Funeral Charm";"Special";"0";"";""
"ukjent";"SPG";"59";"Gaea's Liege";"Special";"0";"";""
"ukjent";"SPG";"59";"Gemstone Mine";"Special";"0";"";""
"ukjent";"SPG";"59";"Jasmine Boreal";"Special";"0";"";""
"ukjent";"SPG";"59";"Leviathan";"Special";"0";"";""
"ukjent";"SPG";"59";"Lightning Angel";"Special";"0";"";""
"ukjent";"SPG";"59";"Merieke Ri Berit";"Special";"0";"";""
"ukjent";"SPG";"59";"Mirari";"Special";"0";"";""
"ukjent";"SPG";"59";"Nicol Bolas";"Special";"0";"";""
"ukjent";"SPG";"59";"Ovinomancer";"Special";"0";"";""
"ukjent";"SPG";"59";"Pendelhaven";"Special";"0";"";""
"ukjent";"SPG";"59";"Prodigal Sorcerer";"Special";"0";"";""
"ukjent";"SPG";"59";"Psionic Blast";"Special";"0";"";""
"ukjent";"SPG";"59";"Safe Haven";"Special";"0";"";""
"ukjent";"SPG";"59";"Shadowmage Infiltrator";"Special";"0";"";""
"ukjent";"SPG";"59";"Sol'kanar the Swamp King";"Special";"0";"";""
"ukjent";"SPG";"59";"Soltari Priest";"Special";"0";"";""
"ukjent";"SPG";"59";"Soul Collector";"Special";"0";"";""
"ukjent";"SPG";"59";"Spined Sliver";"Special";"0";"";""
"ukjent";"SPG";"59";"Teferi's Moat";"Special";"0";"";""
"ukjent";"SPG";"59";"Tormod's Crypt";"Special";"0";"";""
"ukjent";"SPG";"59";"Tribal Flames";"Special";"0";"";""
"ukjent";"SPG";"59";"Twisted Abomination";"Special";"0";"";""
"ukjent";"SPG";"59";"Undead Warchief";"Special";"0";"";""
"ukjent";"SPG";"59";"Undertaker";"Special";"0";"";""
"ukjent";"SPG";"59";"Unstable Mutation";"Special";"0";"";""
"ukjent";"SPG";"59";"Valor";"Special";"0";"";""
"ukjent";"SPG";"59";"Vhati il-Dal";"Special";"0";"";""
"ukjent";"SPG";"59";"Wall of Roots";"Special";"0";"";""
"ukjent";"PUMA";"59";"Expedition Map (borderless)";"Box Topper";"2";"";""
"ukjent";"PUMA";"59";"Brainstorm (borderless)";"Box Topper";"1";"";""
"ukjent";"PUMA";"59";"Mox Opal (borderless)";"Box Topper";"1";"";""
"ukjent";"PUMA";"59";"Academy Ruins (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Arid Mesa";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Atraxa, Praetors' Voice (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Avacyn, Angel of Hope (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Blackcleave Cliffs";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Blightsteel Colossus (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Blood Moon (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Bloodstained Mire";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Bountiful Promenade";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Cloudstone Curio (0349 - Elessar, the Elfstone)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Copperline Gorge";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Council's Judgment (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Crop Rotation (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Cyclonic Rift (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Dark Confidant (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Darkslick Shores";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Doubling Season (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Exploration (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Fatal Push (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Flooded Strand";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Force of Will (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Goblin Guide (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Grove of the Burnwillows";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Horizon Canopy";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Kaalia of the Vast (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Lightning Greaves (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Luxury Suite";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Marsh Flats";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Meddling Mage (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Misty Rainforest";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Morphic Pool";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Mouth of Ronom (0370 - Redhorn Pass)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Polluted Delta";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Prismatic Vista";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Razorverge Thicket";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Reflecting Pool (0373 - Henneth Annun) ";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Scalding Tarn";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Sea of Clouds";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Seachrome Coast";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Sneak Attack (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Spire Garden";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Strip Mine";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Sword of Body and Mind (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Sword of Feast and Famine (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Sword of Light and Shadow (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Thoughtseize (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Toxic Deluge (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Urza's Mine (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Urza's Power Plant (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Urza's Tower (borderless)";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Valakut, the Molten Pinnacle";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Verdant Catacombs";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Wasteland";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Windswept Heath";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Wooded Foothills";"Box Topper";"0";"";""
"ukjent";"PUMA";"59";"Wurmcoil Engine (borderless)";"Box Topper";"0";"";""
"ukjent";"SPM";"53";"Captain America, First Avenger";"Eternal Legal";"2";"";""
"ukjent";"SPM";"53";"Ravenous Tyrannosaurus";"Eternal Legal";"2";"";""
"ukjent";"SPM";"53";"Fight to the Death";"Eternal Legal";"1";"";""
"ukjent";"SPM";"53";"Heroic Intervention";"Eternal Legal";"1";"";""
"ukjent";"SPM";"53";"Rancor";"Eternal Legal";"1";"";""
"ukjent";"SPM";"53";"Storm, Force of Nature";"Eternal Legal";"1";"";""
"ukjent";"SPM";"53";"Arasta of the Endless Web";"Eternal Legal";"0";"";""
"ukjent";"SPM";"53";"Archangel of Thune (Heaven-Sent Marvel)";"Eternal Legal";"0";"";""
"ukjent";"SPM";"53";"Aurelia, the Warleader (Monica, the Marvel)";"Eternal Legal";"0";"";""
"ukjent";"SPM";"53";"Beast Within (0075 - Grimm Fate)";"Eternal Legal";"0";"";""
"ukjent";"SPM";"53";"Bedlam";"Eternal Legal";"0";"";""
"ukjent";"SPM";"53";"Black Panther, Wakandan King";"Eternal Legal";"0";"";""
"ukjent";"SPM";"53";"Chaos Warp";"Eternal Legal";"0";"";""
"ukjent";"SPM";"53";"Concerted Effort";"Eternal Legal";"0";"";""
"ukjent";"SPM";"53";"Counterspell";"Eternal Legal";"0";"";""
